Date Times,Energy
Fri Jan 04 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.276
Fri Jan 04 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.259
Fri Jan 04 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.379
Fri Jan 04 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.26176
Fri Jan 04 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),-0.10778
Fri Jan 04 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),-0.12154
Fri Jan 04 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),-0.050921
Fri Jan 04 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),-0.14695
Fri Jan 04 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),0.37068
Fri Jan 04 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),0.30213
Fri Jan 04 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),0.64713
Fri Jan 04 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),1.1559
Fri Jan 04 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),1.6349
Fri Jan 04 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),0.52884
Fri Jan 04 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),0.84496
Fri Jan 04 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),2.1593
Fri Jan 04 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),1.9537
Fri Jan 04 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),2.4407
Fri Jan 04 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),2.9438
Fri Jan 04 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),3.1907
Fri Jan 04 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),3.4476
Fri Jan 04 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),3.0782
Fri Jan 04 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),2.6333
Fri Jan 04 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),2.2797
Fri Jan 04 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),1.7163
Fri Jan 04 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),1.2306
Fri Jan 04 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),0.62469
Fri Jan 04 2013 17:30:00 GMT+1030 (Australian Central Daylight Time),-0.033918
Fri Jan 04 2013 18:00:00 GMT+1030 (Australian Central Daylight Time),-0.81486
Fri Jan 04 2013 18:30:00 GMT+1030 (Australian Central Daylight Time),-1.2484
Fri Jan 04 2013 19:00:00 GMT+1030 (Australian Central Daylight Time),-1.1967
Fri Jan 04 2013 19:30:00 GMT+1030 (Australian Central Daylight Time),-1.222
Fri Jan 04 2013 20:00:00 GMT+1030 (Australian Central Daylight Time),-0.598
Fri Jan 04 2013 20:30:00 GMT+1030 (Australian Central Daylight Time),-0.428
Fri Jan 04 2013 21:00:00 GMT+1030 (Australian Central Daylight Time),-0.438
Fri Jan 04 2013 21:30:00 GMT+1030 (Australian Central Daylight Time),-0.411
Fri Jan 04 2013 22:00:00 GMT+1030 (Australian Central Daylight Time),-0.385
Fri Jan 04 2013 22:30:00 GMT+1030 (Australian Central Daylight Time),-0.286
Fri Jan 04 2013 23:00:00 GMT+1030 (Australian Central Daylight Time),-0.277
Fri Jan 04 2013 23:30:00 GMT+1030 (Australian Central Daylight Time),-0.309
Sat Jan 05 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.274
Sat Jan 05 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.251
Sat Jan 05 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.21
Sat Jan 05 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.293
Sat Jan 05 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.373
Sat Jan 05 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.328
Sat Jan 05 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.257
Sat Jan 05 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.335
Sat Jan 05 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.357
Sat Jan 05 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.315
Sat Jan 05 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.24622
Sat Jan 05 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.18169
Sat Jan 05 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),0.051911
Sat Jan 05 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),0.37289
Sat Jan 05 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),0.53065
Sat Jan 05 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),0.76715
Sat Jan 05 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),0.88527
Sat Jan 05 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),0.63186
Sat Jan 05 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),0.7396
Sat Jan 05 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),0.41906
Sat Jan 05 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),1.1874
Sat Jan 05 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),-0.095062
Sat Jan 05 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),0.89693
Sat Jan 05 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),1.0934
Sat Jan 05 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),0.73595
Sat Jan 05 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),1.2622
Sat Jan 05 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),-0.033412
Sat Jan 05 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),-0.45733
Sat Jan 05 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),-0.000064487
Sat Jan 05 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),-0.26954
Sat Jan 05 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),-0.47368
Sat Jan 05 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),-0.24921
Sat Jan 05 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),-0.63001
Sat Jan 05 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),-0.95561
Sat Jan 05 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),-0.84465
Sat Jan 05 2013 17:30:00 GMT+1030 (Australian Central Daylight Time),-0.79018
Sat Jan 05 2013 18:00:00 GMT+1030 (Australian Central Daylight Time),-0.78648
Sat Jan 05 2013 18:30:00 GMT+1030 (Australian Central Daylight Time),-0.41427
Sat Jan 05 2013 19:00:00 GMT+1030 (Australian Central Daylight Time),-0.5867
Sat Jan 05 2013 19:30:00 GMT+1030 (Australian Central Daylight Time),-0.397
Sat Jan 05 2013 20:00:00 GMT+1030 (Australian Central Daylight Time),-0.376
Sat Jan 05 2013 20:30:00 GMT+1030 (Australian Central Daylight Time),-0.379
Sat Jan 05 2013 21:00:00 GMT+1030 (Australian Central Daylight Time),-0.453
Sat Jan 05 2013 21:30:00 GMT+1030 (Australian Central Daylight Time),-0.438
Sat Jan 05 2013 22:00:00 GMT+1030 (Australian Central Daylight Time),-0.446
Sat Jan 05 2013 22:30:00 GMT+1030 (Australian Central Daylight Time),-0.395
Sat Jan 05 2013 23:00:00 GMT+1030 (Australian Central Daylight Time),-0.482
Sat Jan 05 2013 23:30:00 GMT+1030 (Australian Central Daylight Time),-0.529
Sun Jan 06 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.461
Sun Jan 06 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.345
Sun Jan 06 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.474
Sun Jan 06 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.392
Sun Jan 06 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.407
Sun Jan 06 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.425
Sun Jan 06 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.425
Sun Jan 06 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.372
Sun Jan 06 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.435
Sun Jan 06 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.381
Sun Jan 06 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.36308
Sun Jan 06 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.3664
Sun Jan 06 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),-0.26068
Sun Jan 06 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),0.051904
Sun Jan 06 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),0.55696
Sun Jan 06 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),1.1428
Sun Jan 06 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),1.7573
Sun Jan 06 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),2.2736
Sun Jan 06 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),2.6815
Sun Jan 06 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),2.3775
Sun Jan 06 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),3.2912
Sun Jan 06 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),3.0766
Sun Jan 06 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),2.8778
Sun Jan 06 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),2.9746
Sun Jan 06 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),3.1282
Sun Jan 06 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),3.338
Sun Jan 06 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),3.2611
Sun Jan 06 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),2.8792
Sun Jan 06 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),2.579
Sun Jan 06 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),2.0791
Sun Jan 06 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),1.4703
Sun Jan 06 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),0.13463
Sun Jan 06 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),0.30765
Sun Jan 06 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),0.21547
Sun Jan 06 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),-0.25518
Sun Jan 06 2013 17:30:00 GMT+1030 (Australian Central Daylight Time),-0.82135
Sun Jan 06 2013 18:00:00 GMT+1030 (Australian Central Daylight Time),-1.5648
Sun Jan 06 2013 18:30:00 GMT+1030 (Australian Central Daylight Time),-1.0967
Sun Jan 06 2013 19:00:00 GMT+1030 (Australian Central Daylight Time),-0.58225
Sun Jan 06 2013 19:30:00 GMT+1030 (Australian Central Daylight Time),-0.433
Sun Jan 06 2013 20:00:00 GMT+1030 (Australian Central Daylight Time),-0.558
Sun Jan 06 2013 20:30:00 GMT+1030 (Australian Central Daylight Time),-0.492
Sun Jan 06 2013 21:00:00 GMT+1030 (Australian Central Daylight Time),-0.457
Sun Jan 06 2013 21:30:00 GMT+1030 (Australian Central Daylight Time),-0.411
Sun Jan 06 2013 22:00:00 GMT+1030 (Australian Central Daylight Time),-0.445
Sun Jan 06 2013 22:30:00 GMT+1030 (Australian Central Daylight Time),-0.441
Sun Jan 06 2013 23:00:00 GMT+1030 (Australian Central Daylight Time),-0.526
Sun Jan 06 2013 23:30:00 GMT+1030 (Australian Central Daylight Time),-0.393
Mon Jan 07 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.397
Mon Jan 07 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.4
Mon Jan 07 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.466
Mon Jan 07 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.353
Mon Jan 07 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.437
Mon Jan 07 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.454
Mon Jan 07 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.457
Mon Jan 07 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.337
Mon Jan 07 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.42
Mon Jan 07 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.426
Mon Jan 07 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.34712
Mon Jan 07 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.30812
